Seed_species,file_name,Control_Colony,groupID,Chamber,total_SA,Darea_1,D_area2,D_area3,D_area4,D_area5,Included_good_areas,Sum_damage,Seed_damage_percent,notes1,notes2
Zan,ZaEk_SAR946_chamber1_1,SAR946,22,Chamber1,10.451,4.755,0.01,,,,,4.765,45.594,,
Zan,ZaEk_SAR946_chamber1_2,SAR946,23,Chamber1,9.991,0.756,0.184,0.01,,,,0.95,9.509,,
Zan,ZaEk_SAR946_chamber2_1,SAR946,24,Chamber2,12.15,5.457,0.083,0.033,,,,5.573,45.868,,
Zan,ZaEk_SAR946_chamber2_2,SAR946,25,Chamber2,10.952,3.126,0.574,0.134,,,,3.834,35.007,this one is a bit difficult because of the wax on it,had to draw the seed outline because too much wax on it
Zan,ZaEk_SAR946_chamber2_3,SAR946,26,Chamber2,10.842,4.862,,,,,,4.862,44.844,,
Zan,ZaEk_SAR947_chamber1_1,SAR947,27,Chamber1,9.399,1.913,0.208,,,,,2.121,22.566,this one is a bit difficult because of the wax on it,
Zan,ZaEk_SAR947_chamber1_2,SAR947,28,Chamber1,10.724,1.714,0.207,0.019,0.079,,,2.019,18.827,this one is a bit difficult because of the wax on it,had to draw the seed outline because too much wax on it
Zan,ZaEk_SAR947_chamber2_1,SAR947,29,Chamber2,9.526,4.213,0.062,,,,,4.275,44.877,this one is a bit difficult because of the wax on it,had to draw the seed outline because too much wax on it
Zan,ZaEk_SAR947_chamber2_2,SAR947,30,Chamber2,9.375,1.443,0.029,,,,,1.472,15.701,this one is a bit difficult because of the wax on it,had to draw the seed outline because too much wax on it
Zan,ZaEk_SAR947_chamber2_3,SAR947,31,Chamber2,9.37,0.773,0.169,0.117,,,,1.059,11.302,this one is a bit difficult because of the wax on it,had to draw the seed outline because too much wax on it
Zan,ZaEk_SAR947_chamber3_1,SAR947,32,Chamber3,10.136,1.681,0.214,,,,,1.895,18.696,,
Zan,ZaEk_SAR947_chamber3_2,SAR947,33,Chamber3,16.278,1.055,0.045,0.31,0.041,,,1.451,8.914,,
Zan,ZaEk_SAR947_chamber3_3,SAR947,34,Chamber3,10.639,1.314,0.266,0.033,,,,1.613,15.161,,
Zan,ZaEk_SAR947_chamber3_4,SAR947,35,Chamber3,9.715,1.878,0.01,,,,,1.888,19.434,had to draw the seed outline because too much wax on it,
Zan,ZaEk_SAR947_chamber3_5,SAR947,36,Chamber3,8.485,2.589,0.358,,,,,2.947,34.732,,
